invoice_ref,vendor_id,customer_id,company_code,invoice_date,posting_date,baseline_date,currency,gross_amount,tax_amount,tax_code,gl_account,cost_centre,profit_centre,payment_terms,reference,header_text,assignment,item_text
INV-2025-00012,V1009,C2003,2000,2025-03-29,2025-03-31,2025-03-29,EUR,194752.95,19475.30,A1,700100,CC2020,PC2003,ZN90,PO-97320,"Landscaping",IT-REFRESH,"Emergency repair"
INV-2026-00013,,C0000,1000,2026-02-23,2026-02-28,2026-02-26,SGD,71468.06,0.00,V0,000000,,PC3000,ZN45,PO-92217,"Printing costs",MAINT-Q1,"One-time purchase"
INV-2025-00014,V1001,C2010,1000,2025-11-03,2025-11-08,2025-11-03,CHF,379066.76,18953.34,V2,700200,CC1030,PC3001,ZN90,PO-84874,"Software licences",IT-REFRESH,"Full delivery"
INV-2026-00015,V1004,C2003,2000,2026-01-30,2026-02-02,2026-01-30,GBP,390402.56,27328.18,A1,400400,CC2010,PC2003,ZN45,PO-81047,"Elevator servicing",MKT-CAMPAIGN,"Phase 2 delivery"
INV-2026-00016,V1002,C2001,2000,2026-03-19,2026-03-20,2026-03-20,GBP,30918.55,6183.71,V2,400200,CC2010,PC4000,ZB02,PO-99016,"Recruitment costs",R&D-PHASE1,"Quality inspection"
INV-2025-00017,V1008,C2007,1000,2025-11-04,2025-11-06,2025-11-07,GBP,362680.88,18134.04,A2,400200,CC2010,PC3000,ZN14,PO-80115,"Fire safety inspection 2025-11",PROJECT-GAMMA,"Debit note"
INV-2025-00018,V1006,C2012,2000,2025-11-16,2025-11-19,2025-11-16,SGD,424767.35,84953.47,A2,400200,CC2020,,ZN14,PO-90002,"Fire safety inspection 2025-11",MAINT-Q4,"Project milestone payment"
INV-2026-00019,V1004,C2004,2000,2026-01-22,2026-01-27,2026-01-22,CHF,393410.20,27538.71,A1,400400,CC2020,PC2003,ZB01,PO-87596,"Server equipment",PROJECT-ALPHA,"Rebate claim"
INV-2026-00020,V1003,C2007,4000,2026-02-09,2026-02-11,2026-02-10,AUD,199326.20,0.00,V0,400200,CC2020,PC2000,ZN45,,"Catering services",R&D-PHASE2,"Progress billing"
INV-2025-00021,V1002,C2009,3000,2025-01-14,2025-01-16,2025-01-15,CHF,478524.56,0.00,V0,400200,CC3020,PC4000,ZN30,PO-92836,"Annual licence renewal",MAINT-Q4,"Volume discount"
INV-2026-00022,V1007,C2005,1000,2026-03-18,2026-03-22,2026-03-19,JPY,466494.00,23324.70,V3,600200,CC2020,PC3000,,PO-85790,"Equipment rental 2026-03",HR-ONBOARD,"Scheduled maintenance"
INV-2025-00023,V1016,C2004,4000,2025-04-10,2025-04-10,2025-04-11,GBP,470634.52,23531.73,V1,400500,CC3020,,ZB01,PO-86221,"Server equipment",OPEX-2026,"Phase 1 delivery"
INV-2025-00024,V1020,C2014,1000,2025-02-24,2025-02-24,2025-02-25,CAD,155042.17,15504.22,V1,400300,CC1010,PC4000,ZB01,PO-94831,"Marketing materials 2025-02",PROJECT-THETA,"Debit note"
INV-2026-00025,V1019,C2014,3000,2026-03-14,2026-03-17,2026-03-16,AUD,56892.79,2844.64,V2,500100,CC2020,PC3000,ZB02,PO-89357,"Building repairs 2026-03",R&D-PHASE2,"Emergency repair"
INV-2025-00026,V1012,C2010,1000,2025-09-05,2025-09-08,2025-09-05,USD,370911.04,0.00,V0,400400,CC1030,PC2001,ZN45,PO-84446,"Subscription fees",R&D-PHASE2,"Annual renewal"
INV-2025-00027,V_UNKNOWN,C0000,9999,2025-06-03,2025-06-06,2025-06-06,CAD,352137.38,52820.61,A1,000000,CC_INVALID,PC2001,ZN14,PO-89565,"Facilities maintenance",R&D-PHASE2,"Quality inspection"
INV-2026-00028,V1012,C2011,1000,2026-03-25,2026-03-29,2026-03-27,CHF,255536.33,0.00,V0,400100,CC3020,PC2002,,PO-87993,"Legal advisory",PROJECT-BETA,"Partial delivery"
INV-2025-00029,V1020,C2002,3000,2025-11-01,2025-11-02,2025-11-02,SGD,325125.24,48768.79,V2,600100,CC1010,,ZN30,PO-92222,"HVAC maintenance",FACILITIES,"Partial delivery"
INV-2025-00030,V1012,C2012,2000,2025-03-03,2025-03-03,2025-03-05,SGD,151308.54,10591.60,V3,600100,CC2030,,ZB02,PO-96761,"Network infrastructure",R&D-PHASE2,"Credit note adjustment"
INV-2025-00031,V1014,C2011,2000,2025-09-25,2025-09-26,2025-09-28,GBP,47116.44,4711.64,V1,500100,CC2010,PC4000,ZN60,PO-99669,"Insurance premium",PROJECT-DELTA,"Phase 1 delivery"
INV-2025-00032,V1012,C2012,2000,2025-03-01,2025-03-03,2025-03-03,EUR,21310.75,0.00,V0,400100,CC2010,PC3000,ZN30,PO-80759,"Catering services 2025-03",PROJECT-ZETA,"Phase 1 delivery"
INV-2025-00033,V1003,C2004,4000,2025-04-08,2025-04-08,2025-04-10,EUR,411241.13,41124.11,V3,400100,CC1040,PC2000,ZN45,PO-95846,"Professional services 2025-04",R&D-PHASE1,"Phase 1 delivery"
INV-2025-00034,V1002,C2014,2000,2025-08-18,2025-08-23,2025-08-18,GBP,247331.47,0.00,V0,400200,CC2010,,ZN14,PO-92524,"Building repairs 2025-08",MAINT-Q4,"Phase 2 delivery"
INV-2025-00035,V1003,C2010,2000,2025-09-27,2025-09-27,2025-09-27,JPY,492808.22,34496.58,V2,500200,CC3010,PC3000,ZN45,PO-81375,"Audit fees",PROJECT-BETA,"Debit note"
INV-2026-00036,V1009,C2002,3000,2026-03-14,2026-03-18,2026-03-14,SGD,176966.72,26545.01,V1,500200,CC1010,PC2001,ZN90,PO-99459,"Vehicle leasing",R&D-PHASE2,"Service completion"
INV-2025-00037,V1001,C2007,3000,2025-03-15,2025-03-20,2025-03-17,CHF,389038.49,19451.92,V2,700200,CC2010,PC2003,,PO-89784,"Temporary staffing 2025-03",HR-ONBOARD,"Full delivery"
INV-2025-00038,V1020,C2005,2000,2025-12-18,2025-12-23,2025-12-20,AUD,457230.36,68584.55,V2,500100,CC3010,PC2000,,PO-93763,"Building repairs",MAINT-Q4,"Volume discount"
INV-2025-00039,V1008,C2013,2000,2025-11-11,2025-11-11,2025-11-11,CHF,97201.78,19440.36,A2,500300,CC3010,PC2001,ZN90,PO-95913,"Research materials 2025-11",PROJECT-ETA,"Early payment discount"
INV-2025-00040,V1007,C2001,4000,2025-08-09,2025-08-10,2025-08-10,CAD,230685.05,23068.51,V1,400400,CC1040,PC3000,ZN90,PO-98253,"Hardware procurement",PROJECT-BETA,"One-time purchase"
INV-2025-00041,V1016,C2003,1000,2025-04-24,2025-04-29,2025-04-27,CHF,229051.00,0.00,V0,400500,CC3020,PC2003,ZN60,PO-90604,"Consulting services",MAINT-Q4,"Late delivery penalty"
INV-2026-00042,V1003,C2013,1000,2026-01-01,2026-01-03,2026-01-04,EUR,94530.29,0.00,V0,600200,CC1020,PC2003,,PO-83938,"Professional services",PROJECT-THETA,"Phase 1 delivery"
INV-2026-00043,V1010,C2003,2000,2026-02-03,2026-02-04,2026-02-06,JPY,128415.19,8989.06,V2,400500,CC2010,PC2003,ZN60,PO-89205,"Network infrastructure",FACILITIES,"Scheduled maintenance"
INV-2025-00044,V1006,C2012,2000,2025-01-20,2025-01-22,2025-01-22,AUD,364795.70,0.00,V0,700100,CC2010,,ZN45,PO-91440,"Staff training",MAINT-Q2,"Phase 2 delivery"
INV-2025-00045,V1001,C2004,4000,2025-05-30,2025-05-31,2025-05-30,SGD,461612.07,23080.60,V2,400300,CC2010,PC3001,ZB01,PO-98631,"Lab equipment",PROJECT-ALPHA,"Standard order"
INV-2025-00046,V1013,C2015,4000,2025-10-27,2025-10-29,2025-10-27,GBP,402029.28,80405.86,V1,700100,CC3010,,ZN90,,"Office supplies 2025-10",PROJECT-THETA,"Project milestone payment"
INV-2025-00047,V1019,C2004,4000,2025-07-05,2025-07-10,2025-07-08,CAD,116840.84,5842.04,A2,400300,CC1010,PC3001,ZB02,PO-97912,"Research materials 2025-07",FACILITIES,"Debit note"
INV-2025-00048,V1019,C2008,1000,2025-10-05,2025-10-05,2025-10-08,GBP,36210.00,0.00,V0,500300,CC2030,PC2003,ZN30,PO-92666,"Annual licence renewal",FACILITIES,"Progress billing"
INV-2025-00049,V1017,C2013,4000,2025-03-29,2025-03-31,2025-03-31,GBP,174232.91,0.00,V0,500200,CC3020,PC3001,ZB02,PO-83390,"HVAC maintenance 2025-03",HR-ONBOARD,"Debit note"
INV-2025-00050,V1010,C2015,2000,2025-10-25,2025-10-30,2025-10-25,SGD,337882.30,33788.23,V1,400200,CC1010,,ZN90,PO-99610,"Landscaping",PROJECT-DELTA,"One-time purchase"
INV-2025-00051,V1018,C2015,2000,2025-04-08,2025-04-12,2025-04-10,CAD,398309.91,27881.69,A1,500300,CC2010,PC2002,ZN45,PO-98099,"Elevator servicing",PROJECT-ETA,"Annual renewal"
INV-2025-00052,V1011,C2009,4000,2025-06-04,2025-06-08,2025-06-04,EUR,437656.50,87531.30,V1,400400,CC1030,,ZB01,PO-84901,"Printing costs",PROJECT-ETA,"Scheduled maintenance"
INV-2025-00053,V1018,C2002,2000,2025-09-15,2025-09-18,2025-09-17,USD,313619.46,31361.95,V2,500200,CC1010,PC2003,ZN14,PO-83287,"Cleaning services",HR-ONBOARD,"Credit note adjustment"
INV-2025-00054,V1004,C2004,2000,2025-12-10,2025-12-11,2025-12-13,SGD,455172.93,22758.65,A1,600100,CC1040,PC2000,ZN60,PO-80762,"Legal advisory",R&D-PHASE2,"Ad-hoc request"
INV-2026-00055,V1002,C2006,3000,2026-01-05,2026-01-09,2026-01-08,GBP,287252.70,20107.69,V1,400200,CC1040,PC2001,ZN90,PO-94315,"Pest control 2026-01",IT-REFRESH,"Ad-hoc request"
INV-2025-00056,V1006,C2010,2000,2025-01-29,2025-02-03,2025-01-29,AUD,140460.13,14046.01,A2,400300,CC1030,PC2001,ZB01,PO-86612,"Contractor payments",IT-REFRESH,"Final settlement"
INV-2026-00057,V1015,C2012,2000,2026-03-10,2026-03-12,2026-03-11,GBP,455122.72,68268.41,V3,500100,CC1010,PC2002,ZB02,PO-99701,"HVAC maintenance 2026-03",CAPEX-2026,"Rebate claim"
INV-2025-00058,V1004,C2009,3000,2025-02-15,2025-02-17,2025-02-16,CHF,227165.83,15901.61,A2,700100,CC1030,PC2002,ZN14,PO-85990,"Cloud hosting fees",PROJECT-GAMMA,"Progress billing"
INV-2025-00059,V1019,C2015,3000,2025-01-20,2025-01-20,2025-01-20,CAD,95889.39,6712.26,V3,400500,CC1010,PC2002,ZN45,PO-96398,"Legal advisory",PROJECT-BETA,"Rework charges"
INV-2025-00060,V1004,C2012,2000,2025-07-04,2025-07-07,2025-07-05,SGD,445917.78,66887.67,V1,400300,CC2030,PC2000,ZN45,PO-91487,"Research materials 2025-07",IT-REFRESH,"Volume discount"
INV-2025-00061,V1008,C2007,3000,2025-02-09,2025-02-09,2025-02-09,EUR,208650.37,20865.04,V3,500300,CC2020,PC2002,ZN14,PO-82672,"Catering services",MAINT-Q3,"One-time purchase"
INV-2025-00062,V1015,C2002,4000,2025-01-11,2025-01-14,2025-01-12,AUD,139156.76,20873.51,A1,400100,CC2020,PC2000,ZN30,PO-88160,"Consulting services",CAPEX-2026,"Advance payment"
INV-2025-00063,V1014,C2005,1000,2025-03-22,2025-03-25,2025-03-25,JPY,367595.44,73519.09,A1,500100,CC3020,PC3001,ZB02,PO-81836,"Cloud hosting fees",PROJECT-GAMMA,"Final settlement"
INV-2026-00064,V1008,C2012,2000,2026-01-09,2026-01-14,2026-01-09,JPY,241801.01,0.00,V0,500200,CC1050,PC4000,ZN60,PO-87294,"Reception services 2026-01",IT-REFRESH,"Rework charges"
INV-2026-00065,V1015,C2004,2000,2026-01-07,2026-01-07,2026-01-10,CAD,467535.23,70130.28,V2,400100,CC1010,PC3001,,,"Landscaping",MAINT-Q2,"Ad-hoc request"
INV-2025-00066,V_UNKNOWN,,,2025-04-07,2025-04-09,2025-04-10,AUD,325270.60,22768.94,V3,999999,,PC2002,ZN90,PO-99181,"Security services",PROJECT-THETA,"Final settlement"
INV-2025-00067,V9999,C9999,4000,2025-01-08,2025-01-09,2025-01-10,SGD,429320.37,42932.04,A1,999999,CC0000,PC4000,ZN14,PO-94346,"Temporary staffing",PROJECT-GAMMA,"Emergency repair"
INV-2025-00068,V1015,C2008,3000,2025-12-24,2025-12-24,2025-12-27,JPY,397445.56,59616.83,V3,600200,CC3010,PC2002,ZN30,PO-82597,"Landscaping",PROJECT-ZETA,"Full delivery"
INV-2025-00069,V1008,C2008,4000,2025-09-16,2025-09-19,2025-09-18,GBP,108469.32,16270.40,A2,600100,CC1010,,ZN90,PO-85151,"Fire safety inspection",PROJECT-BETA,"Progress billing"
INV-2025-00070,V1017,C2015,1000,2025-10-05,2025-10-05,2025-10-08,GBP,219201.73,10960.09,A2,400200,CC1050,PC3000,ZN60,PO-90107,"Software licences",MKT-CAMPAIGN,"Emergency repair"
INV-2026-00071,VXXX,,9999,2026-01-19,2026-01-22,2026-01-21,USD,367286.05,73457.21,A1,000000,CC_INVALID,PC3000,ZN60,PO-99691,"Parking management",MAINT-Q4,"Phase 2 delivery"
INV-2025-00072,V1006,C2003,2000,2025-08-28,2025-09-01,2025-08-28,CAD,183731.10,0.00,V0,700200,CC1040,,,PO-88857,"Travel expenses 2025-08",IT-REFRESH,"Service completion"
INV-2025-00073,V1013,C2012,1000,2025-03-12,2025-03-16,2025-03-14,CHF,155947.83,0.00,V0,500100,CC1010,PC4000,ZN30,PO-87268,"Cloud hosting fees",HR-ONBOARD,"Late delivery penalty"
INV-2025-00074,V1005,C2014,3000,2025-07-05,2025-07-06,2025-07-05,CHF,377586.14,0.00,V0,500200,CC2020,PC4000,ZB01,PO-97974,"Annual licence renewal",MAINT-Q3,"Final settlement"
INV-2025-00075,V1020,C2015,1000,2025-06-26,2025-06-27,2025-06-28,EUR,5692.96,284.65,V3,500100,CC1020,PC3001,ZN60,,"Courier services",PROJECT-BETA,"Service completion"
INV-2025-00076,V1020,C2001,3000,2025-12-24,2025-12-27,2025-12-24,USD,485495.72,24274.79,V2,600200,CC3020,PC4000,,PO-93757,"Telecommunications 2025-12",PROJECT-ZETA,"Full delivery"
INV-2025-00077,V1005,C2009,3000,2025-04-04,2025-04-07,2025-04-05,JPY,228503.41,0.00,V0,400200,CC1010,PC2003,ZN45,PO-94617,"Legal advisory",PROJECT-BETA,"One-time purchase"
INV-2025-00078,V1006,C2012,3000,2025-06-06,2025-06-08,2025-06-06,JPY,199643.20,9982.16,V2,400400,CC3010,PC2002,ZN90,PO-86472,"Cleaning services",IT-REFRESH,"Rework charges"
INV-2025-00079,V1002,C2008,2000,2025-08-22,2025-08-27,2025-08-24,GBP,98366.27,14754.94,V2,400400,CC3020,PC2002,ZN14,PO-87740,"Landscaping 2025-08",PROJECT-EPSILON,"Quarterly invoice"
INV-2025-00080,V1009,C2008,4000,2025-05-14,2025-05-16,2025-05-16,JPY,190920.90,28638.13,A2,400100,CC1010,PC2001,ZB02,PO-80684,"Courier services",R&D-PHASE1,"One-time purchase"
INV-2025-00081,V1003,C2012,3000,2025-01-05,2025-01-05,2025-01-08,CAD,252378.40,12618.92,V3,700100,CC2030,PC3000,ZB01,PO-82933,"Water treatment",MAINT-Q2,"Debit note"
INV-2025-00082,V1010,C2009,1000,2025-04-16,2025-04-20,2025-04-19,USD,317741.72,47661.26,V1,600100,CC2010,PC2003,,PO-82795,"Travel expenses 2025-04",PROJECT-GAMMA,"Standard order"
INV-2025-00083,V1016,C2005,2000,2025-09-23,2025-09-25,2025-09-24,EUR,358966.01,17948.30,V2,400400,CC1020,PC2003,ZN90,PO-97029,"Facilities maintenance 2025-09",PROJECT-ZETA,"Partial delivery"
INV-2025-00084,V1008,C2007,3000,2025-01-18,2025-01-19,2025-01-21,CHF,432008.18,43200.82,V2,400400,CC2020,PC4000,ZN60,PO-99600,"Mail handling",IT-REFRESH,"Standard order"
INV-2025-00085,V1012,C2009,1000,2025-08-08,2025-08-11,2025-08-08,AUD,155814.13,15581.41,V3,500100,CC2010,PC3001,,,"Professional services",PROJECT-DELTA,"Service completion"
INV-2025-00086,V1018,C2013,3000,2025-08-01,2025-08-06,2025-08-01,AUD,218847.12,43769.42,A1,400400,CC1010,PC2000,ZN30,PO-94513,"Parking management",PROJECT-DELTA,"One-time purchase"
INV-2025-00087,V1018,C2007,4000,2025-09-01,2025-09-02,2025-09-04,JPY,203760.60,0.00,V0,500200,CC3020,PC2002,ZN90,,"Landscaping",CAPEX-2026,"Standard order"
INV-2025-00088,V1011,C2006,1000,2025-07-03,2025-07-07,2025-07-03,GBP,75895.68,0.00,V0,400200,CC3010,,ZB01,PO-80408,"Pest control 2025-07",R&D-PHASE2,"Phase 2 delivery"
INV-2025-00089,V1002,C2011,4000,2025-08-09,2025-08-09,2025-08-10,JPY,189436.28,0.00,V0,400200,CC1010,PC3001,ZN30,PO-93853,"Safety equipment",PROJECT-ZETA,"Quality inspection"
INV-2025-00090,V1018,C2009,3000,2025-11-30,2025-12-01,2025-12-03,CAD,438581.90,43858.19,A1,400200,CC1020,PC2003,ZN45,PO-88768,"Marketing materials",R&D-PHASE2,"Annual renewal"
INV-2025-00091,,C2014,1000,2025-12-05,2025-12-06,2025-12-08,GBP,270097.13,54019.43,V2,600200,CCXXX,PC2001,ZN60,PO-96366,"Safety equipment 2025-12",OPEX-2026,"Final settlement"
INV-2026-00092,V1004,C2002,2000,2026-02-12,2026-02-14,2026-02-13,CHF,232958.99,11647.95,V2,600200,CC2030,PC2002,,PO-83852,"Legal advisory",PROJECT-ETA,"Advance payment"
INV-2026-00093,V1018,C2014,4000,2026-01-15,2026-01-19,2026-01-16,CAD,446953.24,44695.32,V1,400500,CC3020,PC3001,,PO-91018,"Research materials",FACILITIES,"Service completion"
INV-2025-00094,V1007,C2008,2000,2025-01-24,2025-01-24,2025-01-27,CAD,315497.34,0.00,V0,600200,CC3020,,ZN45,PO-98713,"Security services",MAINT-Q3,"Partial delivery"
INV-2025-00095,V1010,C2005,3000,2025-09-01,2025-09-04,2025-09-03,SGD,106752.70,0.00,V0,400100,CC2030,PC3000,,PO-94900,"HVAC maintenance",PROJECT-ETA,"Quarterly invoice"
INV-2025-00096,V1015,C2014,2000,2025-03-07,2025-03-07,2025-03-08,EUR,418633.89,0.00,V0,500300,CC1020,PC3000,ZN14,PO-84233,"Software licences",PROJECT-ZETA,"Debit note"
INV-2025-00097,V1017,C2015,1000,2025-07-19,2025-07-23,2025-07-19,AUD,52663.83,0.00,V0,500300,CC1050,PC2002,ZN45,PO-93307,"Marketing materials",R&D-PHASE2,"Volume discount"
INV-2025-00098,V1019,C2002,1000,2025-07-04,2025-07-06,2025-07-07,GBP,28201.60,2820.16,V3,400200,CC1020,,ZN60,PO-99385,"Telecommunications",MAINT-Q1,"Debit note"
INV-2026-00099,V1011,C2009,3000,2026-03-24,2026-03-25,2026-03-27,EUR,357190.77,17859.54,V1,700200,CC3020,PC2003,ZN90,PO-96984,"Safety equipment",PROJECT-GAMMA,"Final settlement"
INV-2026-00100,V1012,C2010,3000,2026-01-10,2026-01-15,2026-01-10,AUD,464132.15,32489.25,A2,700100,CC3010,PC2002,ZN90,PO-82179,"Audit fees",PROJECT-THETA,"Final settlement"
INV-2025-00101,V1020,C2008,3000,2025-09-26,2025-10-01,2025-09-26,JPY,340869.32,51130.40,V1,400500,CC1010,,ZN14,PO-92759,"Printing costs",IT-REFRESH,"Rebate claim"
INV-2025-00102,V1004,C2015,4000,2025-07-21,2025-07-26,2025-07-23,JPY,24865.18,2486.52,A2,600200,CC2020,PC2002,ZN90,PO-88527,"Subscription fees",MAINT-Q1,"Debit note"
INV-2025-00103,V1006,C2004,3000,2025-10-25,2025-10-29,2025-10-27,USD,12073.81,1811.07,V3,600200,CC3020,PC3001,ZN30,PO-91351,"Cleaning services",PROJECT-EPSILON,"Full delivery"
INV-2025-00104,V1011,C2009,2000,2025-07-26,2025-07-26,2025-07-28,JPY,460716.32,92143.26,V1,500100,CC1010,PC2002,,PO-91638,"Landscaping",MAINT-Q4,"Project milestone payment"
INV-2025-00105,V1006,C2011,4000,2025-03-08,2025-03-11,2025-03-09,AUD,153223.48,0.00,V0,700200,CC1010,PC3000,ZN45,PO-95333,"Parking management",MKT-CAMPAIGN,"Rework charges"
INV-2025-00106,V1020,C2009,4000,2025-10-06,2025-10-11,2025-10-06,GBP,428553.65,85710.73,V2,400400,CC1050,PC2000,ZB01,PO-80916,"Telecommunications",PROJECT-THETA,"Retainer fee"
INV-2025-00107,V1012,C2002,2000,2025-10-29,2025-11-03,2025-10-31,GBP,207199.53,0.00,V0,500100,CC2010,PC2002,ZN60,PO-99324,"Marketing materials",PROJECT-EPSILON,"Debit note"
INV-2025-00108,V1008,C2007,1000,2025-02-16,2025-02-21,2025-02-18,CHF,317298.80,0.00,V0,400100,CC1030,PC2003,ZN14,PO-83768,"Mail handling 2025-02",IT-REFRESH,"Final settlement"
INV-2025-00109,V1014,C2012,4000,2025-12-05,2025-12-06,2025-12-07,CAD,397489.16,0.00,V0,500300,CC1020,PC3001,ZB02,,"Facilities maintenance",MAINT-Q2,"Rebate claim"
INV-2025-00110,V1017,C2010,2000,2025-11-02,2025-11-03,2025-11-03,JPY,90468.68,13570.30,V3,700200,CC1020,,ZN45,PO-97979,"Audit fees",IT-REFRESH,"Monthly service fee"
INV-2025-00111,V1017,C2011,4000,2025-07-27,2025-07-28,2025-07-30,JPY,384608.75,26922.61,A1,700100,CC1040,PC3000,ZB02,PO-91216,"Audit fees",PROJECT-THETA,"Full delivery"
INV-2026-00112,V1013,C2012,4000,2026-03-21,2026-03-22,2026-03-23,AUD,242634.22,36395.13,A2,500300,CC3010,PC3000,ZB01,PO-94691,"Equipment rental",MKT-CAMPAIGN,"Volume discount"
INV-2025-00113,V1018,C2004,3000,2025-09-04,2025-09-09,2025-09-04,AUD,34467.29,1723.36,V1,600200,CC1010,PC2003,ZN90,PO-86775,"Landscaping",PROJECT-GAMMA,"Debit note"
INV-2025-00114,V1006,C2006,2000,2025-12-02,2025-12-04,2025-12-05,GBP,149405.13,22410.77,V1,500100,CC1010,PC2001,ZN45,PO-80144,"Subscription fees",PROJECT-GAMMA,"Scheduled maintenance"
INV-2025-00115,V1009,C2008,4000,2025-10-10,2025-10-15,2025-10-13,EUR,140171.66,0.00,V0,600200,CC1040,PC2001,ZN60,PO-95915,"Marketing materials",PROJECT-THETA,"Partial delivery"
INV-2026-00116,V1016,C2004,1000,2026-02-25,2026-02-27,2026-02-25,EUR,362809.78,54421.47,V3,400200,CC1040,PC3001,ZB02,,"Staff training 2026-02",OPEX-2026,"Monthly service fee"
INV-2025-00117,V1006,C2004,2000,2025-12-25,2025-12-26,2025-12-28,CAD,346311.82,34631.18,V2,400400,CC3010,PC4000,ZN30,PO-90905,"Marketing materials",PROJECT-ALPHA,"Phase 2 delivery"
INV-2025-00118,V1016,C2009,3000,2025-11-20,2025-11-23,2025-11-23,JPY,241717.25,12085.86,A2,400300,CC2030,PC3000,,PO-94530,"Waste disposal",OPEX-2026,"Final settlement"
INV-2025-00119,V1009,C2005,3000,2025-08-03,2025-08-04,2025-08-05,CHF,274974.75,41246.21,A2,600100,CC3020,PC3000,ZN30,PO-98548,"Audit fees",MAINT-Q4,"Late delivery penalty"
INV-2025-00120,V1004,C2009,3000,2025-11-10,2025-11-10,2025-11-12,JPY,446292.90,31240.50,A1,700200,CC1020,PC4000,ZB02,PO-87321,"Consulting services",PROJECT-ZETA,"Monthly service fee"
INV-2025-00121,V1007,C2011,3000,2025-06-11,2025-06-11,2025-06-13,SGD,61672.75,0.00,V0,400200,CC2010,,ZB02,PO-81818,"Landscaping 2025-06",HR-ONBOARD,"Late delivery penalty"
INV-2025-00122,V1015,C2003,1000,2025-03-04,2025-03-05,2025-03-07,JPY,399035.43,39903.54,V1,500300,CC2010,PC2000,ZN45,PO-84427,"Audit fees",MAINT-Q2,"Phase 1 delivery"
INV-2025-00123,V1010,C2013,1000,2025-06-01,2025-06-05,2025-06-04,AUD,312947.84,0.00,V0,500100,CC1040,PC2003,ZB01,PO-92365,"Building repairs",HR-ONBOARD,"Rebate claim"
INV-2025-00124,V1003,C2009,1000,2025-10-05,2025-10-10,2025-10-07,SGD,355766.16,71153.23,A1,400100,CC1020,PC2000,ZN60,PO-90149,"Consulting services 2025-10",PROJECT-BETA,"Emergency repair"
INV-2025-00125,V1008,C2009,3000,2025-03-26,2025-03-26,2025-03-27,CAD,418302.34,29281.16,A2,400200,CC1030,PC2001,ZN45,PO-93981,"Server equipment 2025-03",OPEX-2026,"Advance payment"
INV-2026-00126,V1007,C2005,2000,2026-03-04,2026-03-04,2026-03-04,SGD,302845.68,30284.57,V1,600100,CC3010,,ZN90,PO-84376,"Printing costs",R&D-PHASE2,"Partial delivery"
INV-2026-00127,,C2004,4000,2026-02-07,2026-02-08,2026-02-09,SGD,444456.74,0.00,V0,000000,,PC3001,ZN45,PO-89135,"HVAC maintenance",PROJECT-ALPHA,"Monthly service fee"
